date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:34	351197/351197	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-55bdd%22	https://dxdesignz.github.io/Travel/img/t2.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/t2.png	(from https://dxdesignz.github.io/Travel/)
17:19:34	348386/348386	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-550e2%22	https://dxdesignz.github.io/Travel/img/t3.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/t3.png	(from https://dxdesignz.github.io/Travel/)
17:19:35	447397/447397	---M--	200	added ('OK')	image/jpeg	etag:%2264d49cd9-6d3a5%22	https://dxdesignz.github.io/Travel/img/about.jpg	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/about.jpg	(from https://dxdesignz.github.io/Travel/)
17:19:35	420143/420143	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-6692f%22	https://dxdesignz.github.io/Travel/img/s1.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/s1.png	(from https://dxdesignz.github.io/Travel/)
17:19:35	245519/245519	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-3bf0f%22	https://dxdesignz.github.io/Travel/img/s2.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/s2.png	(from https://dxdesignz.github.io/Travel/)
17:19:36	233070/233070	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-38e6e%22	https://dxdesignz.github.io/Travel/img/s3.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/s3.png	(from https://dxdesignz.github.io/Travel/)
17:19:36	143046/143046	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222ec6-XzsUsOzWFyz4l8ZPrexzRg1u7sI%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.js	C:/My%20Web%20Sites/travel/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.js	(from https://dxdesignz.github.io/Travel/)
17:19:36	116/116	---M--	200	added ('OK')	application/javascript	etag:%2264d49cd9-74%22	https://dxdesignz.github.io/Travel/style.js	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/style.js	(from https://dxdesignz.github.io/Travel/)
17:19:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://dxdesignz.github.io/Travel/jquery-3.6.4.min.js	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/jquery-3.6.4.min.js	(from https://dxdesignz.github.io/Travel/)
17:19:37	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/travel/unpkg.com/aos@2.3.1/dist/aos.js	(from https://dxdesignz.github.io/Travel/)
17:19:37	875912/875912	---M--	200	added ('OK')	image/jpeg	etag:%2264d49cd9-d5d88%22	https://dxdesignz.github.io/Travel/img/bac.jpg	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/bac.jpg	(from https://dxdesignz.github.io/Travel/style.css)
17:19:38	779635/779635	---M--	200	added ('OK')	image/jpeg	etag:%2264d49cd9-be573%22	https://dxdesignz.github.io/Travel/img/big-bac.jpg	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/big-bac.jpg	(from https://dxdesignz.github.io/Travel/style.css)
17:19:41	1031364/1031364	---M--	200	added ('OK')	image/jpeg	etag:%2264d49cd9-fbcc4%22	https://dxdesignz.github.io/Travel/img/mobile.jpg	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/mobile.jpg	(from https://dxdesignz.github.io/Travel/style.css)
17:19:42	4108939/4108939	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-3eb28b%22	https://dxdesignz.github.io/Travel/img/hero.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/hero.png	(from https://dxdesignz.github.io/Travel/style.css)
